食品番号,理由,スコア
17082,生のパン酵母は胃内で発酵して不快や膨満を招く可能性があるため注意が必要。,5
10258,良質な動物性たんぱく源。生魚のため寄生虫や鮮度管理に注意が必要。,9
06364,甘煮されたかんぴょうは加工された甘味を含む食品で、使用量や用途に配慮が必要。,6
02034,じゃがいもでん粉は安全な炭水化物源・増粘剤として利用しやすい。,9
11045,牛サーロインは良質な動物性たんぱく源で犬のレシピ素材として適している。,10
10146,にじますはオメガ3等を含む良質な魚で、皮付きでも適切に処理すれば利用可能。,9
15007,餅や甘いあんが含まれ、粘着性や糖分の点で喉詰まりや過剰摂取の懸念がある。,3
07090,梨の果肉は消化性が良く水分・食物繊維を含む。芯・種は除去して与える。,8
06074,塩漬けの葉物で塩分が高めになり得るため、洗浄や塩分管理が必要。,6
10262,味付け缶詰ツナは良いタンパク源だが、塩分や調味液の含有に注意が必要。,5
11180,チョップドハムは加工度が高く塩分・添加物が多い点から多用は推奨されない。,3
11159,豚のそとももは良質な赤身たんぱくで、適切に加熱すれば安全に使える。,9
10339,茹でたたらばがには良質な魚介類だが殻や硬い部位は除去し骨片に注意する必要がある。,8
06159,チコリの若芽は食物繊維を含む安全な葉菜で適量であれば利用可能。,8
06264,ゆでたブロッコリーは消化しやすく栄養価が高い緑黄色野菜で適している。,9
16033,玉露（緑茶）はカフェインを多く含み、犬の中枢神経や心臓に影響を及ぼす恐れがある。,1
11204,やぎ肉は低脂肪で良質なたんぱく源。適切に処理すれば犬のレシピに適する。,9
10456,赤身まぐろ自体は良いが天ぷらの揚げ衣や油で脂肪・塩分が高く加工度が高い。,4
11005,牛肉は良質なタンパク源で犬のレシピ素材として適する,9
16042,ウーロン茶にはカフェインが含まれ、犬では神経・心臓に有害となり得る,1
11049,焼いた牛もも肉は良質なタンパク源で犬のレシピ素材として適切,9
15114,カバーリングチョコレートはテオブロミン・カフェインを含み犬に有害,1
10018,あまだいは良質な魚介タンパクで犬に適した素材である,9
05029,ヘーゼルナッツは脂質が高く消化不良や膵炎リスクがあるため注意が必要,4
04064,つるあずき（乾）は豆類として栄養源になり得るが調理が前提となる,7
06397,ブロッコリーはビタミン・食物繊維が豊富で犬のレシピ素材として適している,8
06201,和種なばなは葉茎類の野菜で犬のレシピ素材として使用可能,8
06047,日本かぼちゃは消化に良い食物繊維やビタミンがあり犬に適した素材である,9
15010,かのこは砂糖や加工度が高い和菓子で、素材としては用途が限定される,5
11009,和牛かたロースは良質なタンパク源だが脂肪が多めで調整が必要,8
15024,タルト（和菓子）は複合的な加工食品で糖分・添加物が多い可能性がある,5
04059,湯葉は大豆由来の良質な植物性タンパク源として使用可能である,7
11161,豚そともも（脂身）はタンパク源だが脂質が高く配慮が必要,7
18053,お好み焼きは複数の材料・調味料を含む加工食品で成分によっては問題となる場合がある,3
10180,ししゃも（生干し）は魚としての利用は可能だが塩分の高い加工品である,6
01180,春巻きの皮（揚げ）は加工油脂を含むため素材としては加工度が高い,5
08038,あらげきくらげ（油いため）は栽培されたきくらげで安全性が高く使用可能,7
07005,アテモヤは果肉が食べられる熱帯果実で、種子を除けば素材として利用可能,7
15150,小豆のあんともち米が主成分で、犬に有害な成分は含まれないため素材として使用可能（甘味はある）。,6
11317,豚肉由来だが加工度が高く塩分・保存料などが含まれる可能性があるため素材としては注意が必要。,5
16048,ココアはテオブロミン・カフェインを含み、犬に有害であるため使用不可。,1
07172,ブルーベリーは犬に安全で抗酸化物質を含むが、乾燥により糖分が濃縮される点に留意。,7
01210,くるみが含まれており、くるみは犬に有害となるリスクがあるため使用不可。,1
15008,小豆こしあんと餅から成り、有害成分は含まず素材として使用可能（葉は除去済み）。,6
06015,枝豆は植物性タンパク源として問題ないが、生のままでは消化しにくい場合がある（さやは廃棄）。,8
10215,とびうおは良質の動物性タンパク源で、骨や内臓を除けば素材として適切。,9
01025,天ぷら用プレミックスは小麦粉ベースの調理用ミックスで素材として使用可能だが加工品である。,6
10019,水煮の切り身の魚は骨と内臓を除けば良質な素材で犬に適している。,9
10356,切りいかのあめ煮は甘辛く調味された加工品で、塩分や糖分が高めの点に注意が必要。,4
10308,焼きはまぐりは貝類としてたんぱく源になり得るが、殻を除去して使用する必要がある。,8
10332,がざみ（わたりがに）は良質なたんぱく源だが殻や内臓を適切に除去して使うべき。,8
17119,減塩みそは発酵大豆製品で風味付けに使えるが塩分含有に留意。,7
11019,和牛のもも（脂身つき）は良質な動物性タンパクと脂質を含み、犬の素材として理想的。,10
17139,低塩の薄口しょうゆは風味付けに使えるが調味料なので使用量に注意。,7
08046,ぶなしめじの油炒めは栽培きのこで安全だが、油分の量に注意して使うべき調理済み素材。,8
10184,したびらめは魚類で良質なたんぱく源。骨と内臓を除いて素材として適切。,9
10132,さくらます（ます類）は良質な動物性タンパクで犬の素材として適切。,9
02013,みずいも（里芋類）の生はシュウ酸カルシウム等により口腔や消化器を刺激するため、生では注意が必要（加熱が望ましい）。,4
09032,海藻類でミネラル源となり、犬のレシピ素材として利用可能,8
11186,加工されたソーセージで塩分や添加物が多い可能性があり、素材としては控えめ評価,5
10367,海産の練り物でたんぱく源となるが風味や塩分が強いことがあるため注意が必要,7
11106,味付けされた加工缶詰で塩分や糖分が高い可能性があるため加工品評価,5
15100,洋菓子で脂質・糖分が多く加工度が高いため素材向きではない,5
10044,いわし類は良質なたんぱく質と脂肪酸源で犬の素材として適切,9
11110,赤肉の良質なたんぱく源で犬のレシピ素材として適している,9
10307,加熱された貝類でたんぱく源として利用可能（殻は除去）,8
06104,しょうがの酢漬けは風味が強く塩分や酸味があるため慎重な使用が望ましい,6
13047,ソフトクリームは乳糖や高脂肪で犬によっては不向きなため控えめ評価,5
01004,オートミールは良質な炭水化物と食物繊維源で犬の素材として適切,9
11143,豚肩肉は良質なたんぱく源で犬のレシピ素材として適している（適切な調理前提）,9
15163,和菓子のまんじゅうは糖脂質が多く加工度が高いため素材向きではない,5
10179,しいらは魚類のたんぱく源で犬の素材として適切,9
15090,ワイン（ぶどう由来、アルコール）が含まれており犬に有害となるため禁忌,1
10133,焼きさくらますは調理済みの魚で良質なたんぱく源、素材として適切,9
05031,マカダミアナッツは犬に神経毒性を示すため禁忌,1
07053,かりんは有毒性は報告されておらず素材として使用可能だが渋味が強い,7
10280,あげまき等の貝類はたんぱく源として利用可能（殻は除去）,7
06036,かぶの根は根菜で消化に優れ犬のレシピ素材として適している,8
04075,ゆでた赤えんどうは良質な炭水化物・植物性タンパク源で犬の素材として適切,8
17115,ゆずこしょうは唐辛子や強い香味を含む調味料で消化器刺激の恐れがあるため注意が必要,3
07150,りんごの濃縮還元ジュースは加工飲料で繊維が少なく糖分が高めのため素材としてはやや劣る,5
15125,揚げパンは油分・加工度が高い揚げ物の菓子で消化負担や脂肪過多の懸念がある,4
07117,干しぶどうはぶどう由来で犬に急性腎不全を引き起こす危険があるため絶対に避けるべき,1
01098,玄米のおもゆは消化しやすい炭水化物源で犬のレシピ素材として適している,9
06321,わけぎはネギ属に該当し、溶血性貧血を引き起こす危険があるため与えてはいけない,2
03019,無水結晶のぶどう糖は純粋な糖類で栄養的には偏りがあるため補助的な素材向け,5
13006,脱脂乳は乳製品で乳糖を含み、犬によっては消化しにくいが用途によっては使える,6
16045,コーヒー浸出液はカフェインを含み中枢・心臓に有害で犬には禁忌,1
10234,天然のひらめは良質な魚蛋白で犬のレシピ素材として適している（調理方法に注意）,8
13031,エダムチーズは乳製品で脂肪・塩分があるため量に注意が必要だが素材として使える,6
15061,ボーロはお菓子類で糖分・加工成分が多く、主素材としては限定的な使用が望ましい,5
17132,昆布だしは旨味を与える安全なだしで、風味付け素材として使いやすい,8
06300,よめなの葉は緑葉野菜でビタミン・食物繊維源として犬の素材に適している,8
13022,コーヒーホワイトナー（植物性クリーム）は加工脂肪を含むため用途を限定して使うべき,5
11167,豚の腎臓は栄養価の高い内臓肉で蛋白源として利用できる（調理と量に注意）,8
17075,にんにく（ガーリック）はネギ属に含まれ、溶血性貧血を引き起こすため与えてはいけない,1
07111,ドラゴンフルーツは果肉が消化に優しく犬に与えやすい果物素材である,7
01155,発芽玄米は栄養価の高い炭水化物源で犬のレシピ素材として適している,9
15124,小豆のこしあんを用いる和菓子で犬に有害な成分は含まれないが、加工・糖分が多いため素材としては中程度,6
01074,小麦のぎょうざの皮は炭水化物源として利用可能で犬のレシピ素材として適切,8
10405,サバの水煮は良質な魚由来タンパクで加熱済みの安全な素材,9
06281,みょうがたけ（茎葉）は香味野菜で有害成分はなく犬のレシピ素材として使用可能,7
18021,白身フライは揚げ物で衣・油・塩分など加工が強いため素材としては注意が必要,4
10270,めじな（生）は魚類として良質なタンパク源だが生食の取扱いに注意が必要,8
10013,開き干しのむろあじは魚として利用可能だが乾燥・塩分があるため使用量に注意,7
10387,魚肉ハムは加工品で塩分・添加物が含まれるため素材としてはやや加工度が高い,5
11207,うずら肉は良質な鳥類タンパクで犬のレシピ素材として適している,9
07118,ぶどう果実飲料はぶどう由来で犬に危険なため禁忌,1
14029,有塩マーガリンは脂質・塩分が高めの加工油脂で加工度が高いため注意が必要,5
10127,からふとます（焼き）は加熱された良質な魚タンパクで適している,9
09003,あまのり（ほしのり）は海藻類で一般に安全な素材だがヨウ素量に留意,8
17133,魚醤油はいわゆる強い調味料で塩分が高く、素材としては直接使うには不向き,3
17108,冷やし中華のたれは加工調味料で糖分・塩分や香味成分が濃いため素材としては注意が必要,3
14021,ファットスプレッドはマーガリン類に準じた加工油脂で脂質が高く使用は限定的が望ましい,5
01102,玄米は良質な炭水化物・食物繊維源で犬のレシピ素材として適している,8
06407,にんじん（皮なしカット）はビタミン・食物繊維が豊富で犬のレシピ素材として適切,9
10394,まるあじ（焼き）は加熱済みの魚でタンパク源として適切だが骨の除去は必要,8
01043,乾麺のそうめん・ひやむぎは小麦由来の炭水化物源として利用可能,8
01124,そば粉は良質な炭水化物源で犬のレシピ素材として使用可能（アレルギーに注意）,8
10183,焼きししゃもは良質な魚タンパク源。与える際は骨を除去して使用する,9
15038,練りようかんは砂糖を多く含む加工和菓子で、素材としては加工度が高い,5
18039,もやしのナムルは調味済みの和え物で香辛料や油が含まれる可能性があり、複合調理食品扱い,3
17137,ぽん酢しょうゆは塩分や酸味の強い調味料で、そのまま多量に使うのは不向きだが調味用途には使える,3
10266,まながつおは良質な魚タンパク源。生魚は寄生虫等に注意し適切に扱えば素材として適切,9
10227,はぜの甘露煮は甘辛く調理された加工魚で糖分・塩分が高めの複合加工品,4
13040,プロセスチーズは乳製品としてタンパク質・脂質供給源となるが、乳糖不耐症の個体は注意,7
10408,まだい（皮なし）は良質な魚タンパク源。生は寄生虫に注意し調理して使うと良い,9
11034,牛かたロースは良質な赤身タンパク源だが脂肪分が高めなので量に注意,9
10097,かつおの缶詰油漬フレークは魚由来の良質タンパクだが油や塩分を含む加工品,8
18048,八宝菜は複数材料を煮合わせた総菜で、調味料や香辛料が含まれる可能性が高い複合調理食品,3
07180,焼きりんごは消化しやすく果肉は犬に適する（芯・種は除去）,8
07041,オレンジの果肉は少量で与えやすいが酸味が強く、皮や種は除去して扱う,7
06112,ゆでた干しずいきは加熱済みの野菜性素材で食物繊維が豊富、調理済みで使用しやすい,7
10026,養殖あゆの焼き物は良質な魚タンパク源。与える前に骨を処理して使う,9
13038,パルメザンは風味付けに適したナチュラルチーズだが塩分が高めで使用量に注意,7
15043,おこしは米菓の加工品で糖分が多く加工度が高いため素材としては限定的,5
14006,調合油は料理用の植物油で脂質供給源として使用可能な素材,9
15105,キャラメルは高糖質のキャンディで加工度が高く、素材としては限定的,5
18030,調理済みの複合惣菜で調味料や香辛料が含まれる可能性があり、素材としては慎重に扱うべき。,4
06069,きゅうり自体は安全だが酢漬け・砂糖等で加工された製品のため加工度を考慮。,6
06057,かんぴょうは植物性の素材で加熱済みの根菜的な利用が可能。,8
15106,キャンディー類の高糖質で加工度の高いお菓子。少量なら問題だが素材としては限定的。,5
10199,白身魚の良質なタンパク源。骨や内臓は除去すれば素材として適切。,9
01144,小麦製の油揚げ麺は炭水化物源として使えるが加工度と脂質に注意。,5
06290,ゆでたもやしは消化しやすい野菜で犬の素材として適している。,8
11042,牛の脂身は動物性のエネルギー源だが脂肪分が高いため使用量に注意が必要。,8
15046,かりんとうは油と砂糖で加工されたお菓子で、素材としては利用に制約がある。,5
09024,海藻類はミネラル源として有用だがヨウ素過剰に留意しつつ少量で利用可能。,8
10271,めばるは良質な魚類で骨・内臓を除去すれば犬のレシピ素材に適している。,9
11272,焼いた牛ひき肉は良質なタンパク源で調理済みのためそのまま素材として適切。,10
07046,マーマレードは果肉に加え皮を含む加工品で、柑橘の皮由来成分や高糖度に注意が必要。,4
01185,軟らかく炊いた白米は消化の良い炭水化物源で犬に適した素材。,9
06297,ゆりね（ユリ根）は食用の根茎で一般に犬に与えられるが、慣れない食材は少量で様子を見る必要がある。,7
17091,バルサミコ酢は調味料で酸味が強いため少量の風味付けには使えるが多量使用は避けるべき。,6
02037,くずきりはでん粉由来の炭水化物で消化しやすく素材として使いやすい。,8
11195,焼き豚は加工肉で調味料や糖分・塩分を含む場合が多く、素材としては加工度を考慮。,5
06311,ルバーブは葉に有害成分（シュウ酸等）を含む可能性があり、利用は慎重を要する。,4
06400,濃縮タイプの野菜ジュースは栄養濃縮や加工度を考慮する必要があるが、少量なら利用可能。,6
11197,豚のスモークレバーは良質なタンパク源で鉄分やビタミンを含み、犬の素材として適している,9
10053,めざし（小魚）は良い動物性たんぱく・脂肪源だが生のままだと寄生虫や細菌のリスクがあるため加熱推奨,7
10157,さば節は魚由来の旨味とたんぱくを提供する素材で、少量使いの風味付けに適する,8
18014,えびピラフは複数の調味・加工がされている複合食品で、調味料（玉ねぎ等）が含まれる可能性があるため素材評価は低め,3
01080,玄米は穀類として栄養源になり得る（炭水化物・食物繊維）ため犬の素材として適切,9
09007,いわのり（素干し海苔）はミネラル供給源として利用できるが、ヨウ素や塩分に注意が必要,7
10360,いいだこ（生）は良質な魚介たんぱくだが生の状態は寄生虫や微生物の懸念があるため加熱が望ましい,7
10078,おひょう（生切り身）は低脂肪の良質な魚類で、加熱して与えれば素材として適している,8
16056,青汁（ケール粉末）は野菜由来の成分を補えるが粉末で濃縮されており成分の強さに注意が必要,6
11313,焼き豚の頭部（ジョウルミート）は動物性たんぱく・脂質の供給源として利用できる（加熱済みで扱いやすい）,9
17077,バジル粉は香草として少量で風味付けに使え、犬にも安全なハーブの一つである,8
04044,豆腐竹輪（蒸し）は大豆由来のタンパクと魚すり身を含む加工品で、穏やかな素材として使える,7
17071,タイム粉は香草であり少量の使用なら犬のレシピ素材として問題ない,8
06388,いぶりがっこは漬物・加工食品で塩分・調味が強めのため、素材評価は低めにとどめるべき,4
01182,黒米は穀類として栄養源となり得る良い素材（食物繊維やポリフェノールを含む）,8
11200,マトン（もも・脂身つき・生）は動物性たんぱくと脂質の供給源として使えるが脂肪量に注意,8
11117,豚肩（赤肉・生）は良質なたんぱく源で犬の素材として適している（加熱して与えるのが一般的）,8
08018,ほんしめじ（生）は一般的な食用きのこであり、調理して与えれば素材として問題ない,7
06279,糸みつば（ゆで）は香味野菜として利用でき、加熱済みで与えやすい安全な素材,8
03024,水あめ（でん粉糖）は高甘味の糖類だが少量の使用なら風味付けに使えるため限定的に素材として扱える,6
11041,牛肉は良質なタンパク源で、犬のレシピ素材として適している,9
01048,中華めんは炭水化物源として使えるが加工食品である,6
06224,ネギ属に該当し、溶血性貧血を引き起こす有害成分を含むため危険,1
10110,魚類は良質なタンパク質と不飽和脂肪酸が得られる素材で適している,9
11028,牛ランプは良質なタンパク源で犬のレシピ素材として適している,9
10079,かさごは魚類で良質なタンパク源になり得る素材である,9
06260,いんげん類（若ざや）は野菜として栄養源になり得る,8
15113,マシュマロは糖質が高く粘着性があり誤嚥や消化不良のリスクがあるため素材として不向き,3
15045,かりんとうは高糖・高脂の菓子で栄養価が偏るため素材として不向き,4
06035,かぶの葉は葉物野菜として利用でき、茹でて消化が良くなっている,8
10247,塩ほっけは魚としては良いが塩分を含む加工品である点に注意が必要,6
17019,かつおだしは旨味のある調味料として使えるが塩分や濃度に注意が必要,7
10439,加熱されたサーモンは良質なタンパク質と脂肪酸を含み、素材として適している,9
15053,和干菓子類の菓子は糖分・油分が高く素材としては不向き,4
01070,焙焼した小麦副産物は食物繊維源になり得るが加工品である,6
18044,コロッケ類は複合調理済み食品で調味料や油脂が含まれるため素材としては注意が必要,4
18050,合いびきハンバーグは複合調理済み食品で具材や調味により不適な成分が含まれる恐れがある,3
06194,素揚げしたなすは野菜として利用可能だが揚げ油の影響に注意が必要,7
07022,梅干しは果実由来だが高塩分・強い酸味があるため犬の素材としては注意が必要,4
15180,チョコレートはテオブロミンを含み、神経・心臓に有害であるため絶対に避けるべき,1
10067,うなぎは良質な動物性タンパク源で犬のレシピ素材として適している,9
10152,ますのすけ（キングサーモン）は良質な魚由来タンパク源で犬に適している,9
06222,ミニキャロットはビタミンや食物繊維を含む安全な野菜素材である,9
17076,にんにくはネギ属で犬に有害な成分を含み使用不可である,1
17010,再仕込み醤油は調味料で塩分や発酵成分が高く加工食品として扱うべきである,5
10086,かつおは良質な魚由来タンパク源で犬のレシピ素材として適している,9
10395,まいわしのフライは揚げ調理された複合加工食品で素材としては注意が必要である,4
06040,かぶの塩漬け葉は漬物の加工食品で塩分等があり加工素材として注意が必要である,5
17069,しょうがは香辛料で消化器を刺激する可能性があり使用に注意が必要である,4
07025,うめ果実飲料は加工された果実飲料で酸味や糖分があり加工素材として扱うべきである,5
07143,ゆずの果汁は柑橘の香気成分や酸で刺激があり使用に注意が必要である,4
16003,清酒はアルコール飲料で犬に有害なため使用不可である,1
07125,ブルーベリージャムは果実由来で毒性はないがジャムは加工糖分が高い加工食品である,6
16031,ベルモットはアルコール含有の混成酒で犬に有害なため使用不可である,1
15097,ハードビスケットは加工菓子で添加成分や糖分を含むが原材料自体は有害でない,6
07186,赤すぐり（冷凍）は果実で特に有害成分はなく素材として使用可能である,7
15026,和生菓子（ちゃつう）はあん入りの加工菓子で糖分が高く加工素材として注意が必要である,5
11276,とんかつ（豚ロース・揚げ物）は揚げ調理と衣・脂肪があるため加工食品として不適切寄りである,3
15155,大福もち（つぶしあん入り）は粘性のある加工和菓子で糖分が高く加工素材として注意が必要である,4
10101,まがれい水煮は加熱済みの魚で良質なタンパク源、犬のレシピ素材として適している,9
02061,緑豆はるさめは加熱済みの消化しやすいでん粉源で犬のレシピ素材として適する,8
07008,あんず（果皮・核除去済）は果肉自体は犬に与えやすい果物で素材として使える,7
10452,蒸したまぐろは良質な動物性タンパクで犬のレシピ素材として適切,9
10301,とこぶしは貝類の良質なたんぱく源だが殻や内臓の除去と加熱に注意が必要,7
15160,まんじゅう（こしあん入り）は糖質・加工成分が多い菓子類で素材としてはあまり望ましくない,5
04052,豆乳は植物性タンパク源として利用可能だが、個体差で消化性やアレルギーに注意,7
14017,有塩バターは高脂肪・塩分が高めの乳製品で、過剰摂取は健康リスクとなる,6
01149,生パスタ（小麦）は消化性のある炭水化物源として使用可能だが加工食品である,7
05046,チアシードは食物繊維や不飽和脂肪酸を含む栄養価の高い素材だが使用法（吸水など）に注意,7
11023,和牛そとももは良質な動物性タンパク・脂肪源で犬のレシピ素材として適切,9
04016,うぐいす豆（煮豆）は豆類の安全な素材で、調理済みのため使いやすい,8
15142,こんにゃくゼリーはゼリー状で窒息・閉塞の危険があり犬には適さない形状リスクがある,4
08041,しいたけ（油炒め）は栽培しいたけは一般に安全な野菜性素材だが油調理で脂質が増す,7
09053,ひじきはミネラル（ヨウ素やその他ミネラル）を多く含む海藻で、量や頻度に注意が必要,6
10212,ナイルティラピアは淡白な良質タンパクで犬のレシピ素材として適している,9
11140,豚ヒレは良質な赤身肉でタンパク源として適切だが、加熱調理が望ましい,8
17025,中華だしの原材料にねぎ（ネギ属）が含まれており、ネギ類は犬にとって有害である,1
08056,ぶなしめじの天ぷらは揚げ物で脂質や衣の加工があるため犬の素材としては不向きな面がある,3
10024,あゆ（内臓を含む焼き魚）は栄養はあるが内臓や骨を含むため取扱いに注意が必要,6
06374,グリンピース（加熱済）は安全な野菜性素材でビタミン・食物繊維供給源として使える,8
06383,グリンピース・コーン・にんじんの加熱済みミックスで、犬に与えやすい野菜素材であるため,8
10242,ぶりは良質なタンパク質と脂肪を含む魚で、加熱済みの切り身は犬の素材として適しているため,9
06270,ホースラディシュ（わさび大根）は辛味が強く消化器を刺激しやすいため注意が必要である,3
01093,精白米のかゆは消化しやすい炭水化物源で、犬のレシピ素材として適しているため,9
10260,水煮のツナ（きはだ）は加熱済みの良質な魚タンパク源で利用しやすいため,9
11231,鶏の心臓は動物性タンパクと微量栄養素が豊富で、素材として利用価値が高い部位であるため,9
10135,しろさけの水煮は良質な脂肪とタンパク源で、犬のレシピ素材として適しているため,9
06174,とうがん（ゆで）は水分が多く低カロリーで消化しやすい野菜素材であるため,8
07119,ぶどう由来の飲料は犬に腎障害を引き起こす可能性があり危険であるため,1
15048,磯部せんべいは加工された菓子で塩分や添加成分があるため原料利用は限定される,5
15006,ういろうはでんぷん・糖分を含む加工和菓子で、使用は限定的にすべきであるため,5
10011,むろあじ（生）は良質な魚だが生魚の取り扱いを考慮する必要があるため,8
15027,どら焼は小麦と糖分を多く含む加工菓子で、素材利用は限定的であるため,5
01175,食パン（耳を除いたもの）は炭水化物源として使えるが加工度が高い素材であるため,6
06064,レッドキャベツは栄養価が高く野菜素材として利用可能であるため,8
06238,バジルは風味付けとして少量なら使用可能だが大量使用は避けるべきであるため,7
15036,もなか（こしあん入り）は糖分・炭水化物が主体の加工菓子で使用は限定的であるため,5
10287,あわびの塩辛は塩分や発酵成分が高く、素材としての利用は制限されるため,5
01087,七分つき米は良質な炭水化物源で犬のレシピ素材として適しているため,9
16006,ビールなどのアルコールは中枢抑制など有害作用があり犬に禁忌であるため,1
04049,納豆（大豆の発酵食品）は良質なタンパク源で消化に比較的適し、犬の素材として問題が少ない。,8
10116,きんめだいは良質な魚のタンパク源。骨や内臓は除去して調理すれば適切。,9
10058,みりん干しはみりん（酒類）や塩分・糖分を含む加工魚で、酒類由来成分の点から犬には不適切。,2
18038,南蛮漬けは複合調理済みで調味料や香辛料、骨が混入することがあり、素材としては注意が必要。,3
06403,キャベツは低カロリーで食物繊維が豊富な野菜で、犬のレシピ素材として適している。,9
02028,精製されたキャッサバでん粉（タピオカ）は炭水化物源として利用可能で、素材として使いやすい。,7
01035,クロワッサンは小麦・バターを含む高脂質の焼き菓子で、頻繁には不向きだが少量であれば素材として使える。,5
17098,ごまだれは風味付けに有用な調味料だが塩分や調味料成分が濃いことがあり、使用量に注意が必要。,5
01203,即席カップめん（調味料含む）は香辛料や塩分・添加物が多く含まれるため、犬の素材としては注意が必要。,3
08027,ゆでたヒラタケは栽培種の食用きのこで、加熱済みのため犬のレシピ素材として適している。,8
10245,ホキは白身の良質なたんぱく源。骨は除去して調理すれば適切。,9
01195,即席めんのめん（スープを残したもの）は炭水化物源として使えるが加工度が高く塩分・添加物に注意が必要。,5
13056,モッツァレラは良質な乳タンパクで少量なら利用可能だが脂肪や乳糖に注意。,8
17013,食塩は調味料として使用可能だが過剰な塩分は犬に有害となるため使用量に注意が必要。,5
13050,チーズホエーパウダーは乳由来のタンパク質源として利用できる加工原料だが乳糖や塩分量に注意。,7
06326,干しわらびは山菜で下処理が不十分だと消化器症状や毒性リスクがあるため注意が必要。,4
06271,まこも（茎）は食物繊維を含む野菜的素材で、調理して与えれば犬のレシピ素材として適している。,7
09009,えごのりなどの海藻類はミネラル供給源として利用できるがヨウ素など含有量に注意する必要がある。,7
11074,牛ばら（脂身つき）は良質な動物性タンパクだが脂肪が多く過剰摂取で膵炎リスクがあるため分量に注意。,8
06355,ほうれんそうはビタミン・鉄分が豊富だがシュウ酸を含むため長期大量の利用は注意が必要。,7
06312,水分が多く消化しやすい葉物野菜で犬のレシピ素材として適している。,9
10264,魚由来の良質なタンパク源だが油漬けの加工品であるためやや加工度が高い。,7
10005,加熱された青魚で良質なタンパク源。骨は除去して使う前提で適している。,9
17054,アルコール含有の調味料で犬に有害となる可能性があるため使用不可。,1
06331,芽菜の加熱調理品で消化しやすく犬の素材として利用可能。,8
10424,白身の生魚で良質なタンパク源。生食の取り扱いに注意しつつ素材として適している。,9
01212,米粉を主原料としたパンで炭水化物源として使えるが加工度がある。,7
07004,果汁含有の飲料で糖分があるためそのまま多量に与えるのは不適だが風味付け等の少量利用なら可。,5
10471,たこは低脂肪で高タンパクの食材。鮮度管理を前提に素材として適している。,9
01014,硬質小麦の玄穀で炭水化物源。加熱調理してから使用する前提で適している。,8
05015,けしの実はアルカロイド含有の可能性があり注意が必要な素材である。,4
10072,味付けの干物魚で塩分や加工があるため使用は制限されるが魚素材としての利用は可能。,6
01158,米粉は消化性の良い炭水化物原料で犬のレシピ素材として適している。,9
01189,油揚げ即席麺は加工度が高く脂質や添加成分があるため限定的な使用が望ましい。,5
18005,クリーム系の缶スープは乳成分や塩分・脂肪を含むため使用は限定的に留めるべきである。,5
10312,加熱済みのほたては良質なタンパク源で犬の素材として適している。,9
06215,茹でたにんじんは消化が良くビタミンや食物繊維の供給源として適している。,9
14025,高リノールの精製植物油で脂質源として利用可能な素材である。,9
04014,グリンピースは栄養価があるが揚げ加工されているため脂質や塩分に注意が必要。,7
01085,玄米は繊維や炭水化物源として良好で、炊いてから与える前提で適している。,8
01075,小麦製のしゅうまいの皮は主にでん粉・小麦で犬でも消化可能な炭水化物源として使えるため適している,6
06118,茹でたせりは葉茎の緑葉野菜で食物繊維やビタミンがあり犬のレシピ素材として適している,8
06276,根みつば（葉）は香味野菜で少量で風味付けに使いやすく犬に対して安全な素材である,8
06119,セロリの葉柄は低カロリーで食物繊維が豊富な野菜として犬のレシピ素材に適している,7
11246,ラム（めんよう）ロースは良質な動物性たんぱく源で犬のレシピ素材として理想的である,10
06048,西洋かぼちゃの果実は消化しやすくビタミンや食物繊維が豊富で犬に適した素材である,8
11113,くじら肉は動物性たんぱく源として利用できるが風味や調理法を考慮して扱う必要がある,8
11291,焼きの鶏ひき肉は調理済みで使いやすく良質なたんぱく源として犬に適している,10
01122,そば粉（全層粉）は炭水化物源として利用可能で、犬のレシピ素材として使用できる,7
06041,塩漬のかぶ（根）は原材料自体は問題ないが塩分の点に留意して使う必要がある,5
15013,ぎゅうひは砂糖や粘着性が高い菓子で与えにくさや嗜好・粘着によるリスクがあるため注意が必要である,4
06216,冷凍にんじんは栄養的に安全で食物繊維やβ-カロテンがあり犬のレシピ素材に向く,8
01165,コーンフラワーは加工されたデンプン源で炭水化物として使用可能だが主成分はでん粉である,6
02018,皮なしに蒸したじゃがいもは加熱済みで消化しやすく犬にとって安全な炭水化物源である,8
10261,ツナ缶（水煮・フレーク）は魚由来の良質なたんぱく源で料理素材として使いやすい,9
07078,すだちの果皮は精油成分を多く含み消化器を刺激する恐れがあるため使用は避けた方がよい,3
10075,おいかわ（淡水魚）の魚肉は動物性たんぱく源として利用できる素材である,8
01138,はとむぎの精白粒は穀類として利用可能で犬のレシピ素材として使用できる,7
06329,トウミョウ（芽苗）は若菜でビタミンや食物繊維があり犬にとって安全な素材である,8
10407,さんま（皮なし）は魚類の良質なたんぱく源でオメガ-3脂肪酸も期待でき犬のレシピ素材として適している,9
07102,缶詰のパイナップルは果肉自体は有害でないが、シロップ漬けで加工度と糖分が高い点に注意,6
10161,塩さばは良質な魚タンパク源だが塩分や加工の影響を考慮する必要がある,7
12017,卵を主体としたたまご豆腐は良質なタンパク源で犬の素材として適している,9
01016,薄力粉は炭水化物源として使いやすく一般的に素材として問題ない,8
10401,ぎんだらの水煮は調理済みの魚で良質なタンパク質・脂質源として適切,9
